epci_code,EPCI,admin_website_url
241500230,CA du Bassin d'Aurillac,
200071751,CA du Bassin de Bourg-en-Bresse,https://portail.siea‑sig.fr
200043172,CA du Bassin de Brive,https://gnau35.operis.fr/bassindebrive/gnau/#/
200067999,CA du Beauvaisis,https://urbanisme.beauvaisis.fr/#/
200040244,CA du Bocage Bressuirais,https://gnau-sieds.operis.fr
246200729,CA du Boulonnais,https://gnau14.operis.fr/boulonnais/gnau/#/
246201149,CA du Calaisis,https://guichetunique.grandcalais.fr/Login/Particulier
200030633,CA du Caudrésis et du Catésis,
249720061,CA du Centre de la Martinique,
249730045,CA du Centre Littoral,
200071678,CA du Choletais,
200067205,CA du Cotentin,https://ads.lecotentin.fr/guichet-unique
200044618,CA du Douaisis (C.A.D.),https://urbanisme.ville-douai.fr/droit-du-sol/Login/Particulier
200034692,CA du Gard Rhodanien,https://ideau.atreal.fr/
200071827,CA du Grand Angoulême,https://gnau.grandangouleme.fr/gnau/#/
200066793,CA du Grand Annecy,https://urbanisme.annecy.fr/Login/Particulier
248400251,CA du Grand Avignon (Coga),https://gnau2.operis.fr/grandavignon/gnau/#/
248400251,CA du Grand Besançon,https://gnau-grandbesancon.operis.fr/gnau/#/
200023737,CA du Grand Cahors,https://sig.grandcahors.fr/guichet-unique/Login/Particulier
200069110,CA du Grand Chambéry,https://gnau2.operis.fr/chamberymetropole/gnau/
200070514,CA du Grand Cognac,https://gnau29.operis.fr/grandcognac/gnau/
244000675,CA du Grand Dax,https://intrageo.dax.fr/guichet-unique/Login/Particulier
200010650,CA du Grand Dole,https://sig.grand-dole.fr
200034825,CA du Grand Guéret,par mail
248900334,CA du Grand Sénonais,
200049187,CA du Grand Verdun,https://portail.grandverdun.fr/
200023307,CA du Grand Villeneuvois,
200070092,CA du Libournais,https://grandlibournais.geosphere.fr/
200041317,CA du Niortais,https://gnau-sieds.operis.fr/#/
249710062,CA du Nord Basse-Terre,
200044691,CA du Nord Grande Terre,
242010056,CA du Pays Ajaccien,https://ca-pays-ajaccien.geosphere.fr/adscs/Login?ReturnUrl=%2Fadscs%2F
200067106,CA du Pays Basque,https://www.communaute-paysbasque.fr/mes-demarches/demarches/deposer-une-demande-durbanisme
200040277,CA du Pays de Dreux,https://ideau.atreal.fr/
200072346,CA du Pays de Fontainebleau,
240100750,CA du Pays de Gex,https://portail.siea-sig.fr/sve/#/communesList
200039857,CA du Pays de Grasse,https://sve.sictiam.fr/#/communesList
243400470,CA du Pays de l'Or,
200043495,CA du Pays de Laon,
200072130,CA du Pays de Meaux,https://ideau.atreal.fr/
243500782,CA du Pays de Saint-Malo - Saint-Malo Agglomération,https://www.stmalo-agglomeration.fr/vie-quotidienne/amenagement-et-urbanisme/autorisation-durbanisme
200069037,CA du Pays de Saint-Omer,https://gnau19.operis.fr/payssaintomer/gnau/#/
200041788,CA du Pays Nord Martinique,
243800984,CA du Pays Voironnais,https://ads.paysvoironnais.com/guichet-unique/Login/Particulier
200073419,CA du Puy-en-Velay,
200071892,CA du Saint-Quentinois,https://gnau15.operis.fr/saintquentinois/gnau/#/
243100633,CA du Sicoval,
249740085,CA du Sud,
245701222,CA du Val de Fensch,https://www.agglo-valdefensch.fr/urbanisme
200034700,CA Durance-Lubéron-Verdon Agglomération,
200071116,CA Ecla (Espace Communautaire Lons Agglomération),
200067684,"CA Épernay, Coteaux et Plaine de Champagne",
200071116,CA Étampois Sud-Essonne,
200071454,CA Evreux Portes de Normandie,https://demarche-urbanisme.epn-agglo.fr/Login/Particulier
200069821,CA Fécamp Caux Littoral Agglomération,
200035814,CA Flers Agglo,
200072452,CA Fougères Agglomération,
200066124,CA Gaillac-Graulhet,www.geopermis.fr
200067825,CA Gap-Tallard-Durance,https://urbanisme.geomas.fr/gnau
200067932,CA Golfe du Morbihan - Vannes Agglomération,https://urbanisme.gmvagglo.bzh
200017846,CA Grand Auch Coeur de Gascogne,
200069052,CA Grand Belfort,https://gnau.grandbelfort.fr/gnau/
248600413,CA Grand Châtellerault,
200068674,CA Grand Lac,https://pu.rgd.fr/
248200099,CA Grand Montauban,https://montauban.com/au-quotidien/logement-et-urbanisme/faire-une-demande-durbanisme
200059228,CA Grand Paris Sud Seine Essonne Sénart,https://www.grandparissud.fr/urbanisme-tout-savoir-sur-vos-demarches
249710070,CA Grand Sud Caraïbe,
240200477,CA GrandSoissons Agglomération,
200067981,CA Guingamp-Paimpol Armor-Argoat Agglomération,https://gnau.megalis.bretagne.bzh/gpa/gnau/
200042935,CA Haut - Bugey Agglomération,https://www.hautbugey-agglomeration.fr/vivre-habiter/urbanisme/mes-demarches/dematerialisation-des-autorisations-durbanisme
243400819,CA Hérault-Méditerranée,
249740093,CA Intercommunale de la Réunion Est (Cirest),
249740093,CA Intercommunale du Nord de la Réunion (Cinor),
200041507,CA La Riviera du Levant,
248500589,CA La Roche-sur-Yon Agglomération,https://ads.larochesuryon.fr/guichet-unique/Login/Particulier
200069391,CA Lamballe Terre et Mer,https://www.lamballe-terre-mer.bzh/guichet-numerique-des-autorisations-durbanisme
200065928,CA Lannion-Trégor Communauté,https://www.lannion-tregor.com/vos-services/autorisations-durbanisme
200083392,CA Laval Agglomération,https://www.agglo-laval.fr/utile-au-quotidien/urbanisme/demarches-durbanisme/deposer-une-demande-dautorisation-en-ligne
247100589,CA Le Grand Chalon,https://www.legrandchalon.fr/demarches/faire-une-demande-dautorisation-durbanisme
241100593,CA Le Grand Narbonne,https://legrandnarbonne.com/vivre-au-quotidien/se-loger-/-habiter/vos-demandes-durbanisme
200040392,CA Le Grand Périgueux,https://atd24.geosphere.fr/guichet-unique
200068641,CA Le Muretain Agglo,https://urbanisme.mairie-muret.fr/gnau/#/
200071165,CA Les Sables d'Olonne Agglomération,https://sig.lsoagglo.fr/guichet-unique
200069532,CA Lisieux Normandie,https://calisieuxnormandie.geosphere.fr/guichet-unique/Login/Particulier
249740119,CA Loire Forez Agglomération (LFA),
200042174,CA Lorient Agglomération,
200040442,CA Luberon Monts de Vaucluse,
200070308,CA Mâconnais Beaujolais Agglomération,https://gnau43.operis.fr/maconnaisvalsaone/gnau/
247700594,CA Marne et Gondoire,https://urba.marneetgondoire.fr/guichet-unique
200043396,CA Maubeuge Val de Sambre,https://maubeugevaldesambre.geosphere.fr/adscs/Login?ReturnUrl=%2Fadscs%2F
200060010,CA Mauges Communauté,maugescommunaute.fr/actualites/demande-autorisation-urbanisme-en-ligne
247700057,CA Melun Val de Seine,"Chaque commune de la CAMVS possède son guichet (liaison par sous‑domaine)."
244000808,CA Mont-de-Marsan Agglomération,
200069425,CA Mont-Saint-Michel-Normandie,https://gnau12.operis.fr/baiemontsaintmichel/gnau/#/
244000808,CA Montargoise et Rives du Loing (A.M.E.),
200040459,CA Montélimar Agglomération,https://gnau25.operis.fr/montelimar/gnau/
200071082,CA Montluçon Communauté,
242900835,CA Morlaix Communauté,https://saasweb.oci-urbanisme.fr/NetADS/sve/connexion
200071140,CA Moulins Communauté,
200066009,CA Mulhouse Alsace Agglomération,https://gnau-mulhouse.operis.fr/gnau/#/
200057958,CA Paris - Vallée de la Marne,
200067254,CA Pau Béarn Pyrénées,https://www.pau.fr/vie-quotidienne/urbanisme-habitat/urbanisme-aides-et-demarches/depot-en-ligne-des-demandes
200070407,CA Pays d'Issoire,
200065647,CA Pays de Montbéliard Agglomération,https://www.montbeliard.fr/ma-mairie/urbanisme/demandes-dautorisation-durbanisme.htm
200067791,CA Pays Foix-Varilhes,
200056380,CA Plaine Vallée,
200067346,CA Pornic Agglo Pays de Retz,
243800604,CA Porte de l'Isère (C.A.P.I),https://gnau18.operis.fr/portedelisere/gnau/#/
245701362,CA Portes de France-Thionville,https://www.geopermis.fr/
200071413,CA Privas Centre Ardèche,
200067437,CA Provence-Alpes-Agglomération,
200068120,CA Quimper Bretagne Occidentale,https://gnau3.operis.fr/quimperbretagneoccidentale/gnau/#/
242900694,CA Quimperlé Communauté,
200073344,CA Rambouillet Territoires,https://netads.rt78.fr:444/NetADS/sve/connexion
243500741,CA Redon Agglomération,https://gnau.megalis.bretagne.bzh/ra/gnau/
200070753,CA Riom Limagne et Volcans,https://sig.rlv.eu/guichet-unique/Login/Particulier
200035731,CA Roannais Agglomération,https://gnau.roannais-agglomeration.fr/gnau/#/
200041762,CA Rochefort Océan,
241200187,CA Rodez Agglomération,
200055655,CA Roissy Pays de France,
200055655,CA Roissy Pays de France,
241700640,CA Royan Atlantique,https://urba.agglo-royan.fr/NetADS/sve/connexion
200067502,CA Saint-Avold Synergie,
200069409,CA Saint-Brieuc Armor Agglomération,https://www.saintdonan.fr/Guichet-numerique-des-autorisations-urbanisme-gnau_fiche_552.html
200058519,CA Saint-Germain Boucles de Seine,"guichet unique pour chaque mairie"
200066389,CA Saint-Lô Agglo,https://sig.saint-lo-agglo.fr/guichet-unique/Login/Particulier
200066058,CA Saint-Louis Agglomération,https://gnau32.operis.fr/saintlouisagglo/gnau/#/
200070746,CA Sarreguemines Confluences,
200071876,CA Saumur Val de Loire,https://www.saumurvaldeloire.fr/infos-demarches/urbanisme/demarches-d-autorisation-d-urbanisme
200058519,CA Seine Eure,https://gnau.seine-eure.fr/gnau/#/
200072312,CA Seine Normandie Agglomération,https://gnau15.operis.fr/seinenormandie/gnau/#/
200066355,CA Sète Agglopôle Méditerranée,https://www.agglopole.fr/habiter-se-former/le-logement-2/demander-une-autorisation-durbanisme/?cn-reloaded=1
200058519,CA Sud Sainte-Baume,
200069300,CA Tarbes-Lourdes-Pyrénées,https://www.agglo-tlp.fr/page/sve-urbanisme
200035087,CA Terre de Provence,
200089456,CA Territoire de la Côte Ouest (Tco),
200072072,CA Territoires Vendômois,
200067551,CA Thonon Agglomération,https://mesdemarches.thononagglo.fr/
200069250,CA Troyes Champagne Métropole,https://www.ville-troyes.fr/teleservices/e-services/urbanisme/
241927201,CA Tulle Agglo,
247700339,CA Val d'Europe Agglomération,
200058477,CA Val d'Yerres Val de Seine,
200030674,CA Val de Garonne Agglomération,
200058485,CA Val Parisis,
200068781,CA Valence Romans Agglo,ads.valenceromansagglo.fr
245901160,CA Valenciennes Métropole,
248300394,CA Var Esterel Méditerranée (Cavem),Les Adrets-de-l'Estérel
249740101,CA Ventoux-Comtat-Venaissin (Cove),https://gnau.lacove.fr/gnau
247800584,CA Versailles Grand Parc (C.A.V.G.P.),https://www.versailles.fr/1033/urbanisme-architecture-foncier/urbanisme/mes-demarches-aupres-du-service-urbanisme/dematerialisation-des-autorisations-d-urbanisme.htm
200071363,CA Vichy Communauté,https://gnau12.operis.fr/vichycommunaute/gnau/#/
200077014,CA Vienne Condrieu,https://gnau-dia.vienne-condrieu-agglomeration.fr/gnau/#/
