Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
52,FranceConnect - Accédez simplement aux services publics,https://franceconnect.gouv.fr/nos-services,https://gnau4.operis.fr/metzmetropole/gnau/#/,Guichet Numerique des Autorisations d Urbanisme de Metz Métropole,595,9,false,false,false,true,false,false,false,false,2024-02-14,2024-07-04,false,false
50,Portail urbanisme des communes de l'eurométropole de Metz,https://urbanisme.eurometropolemetz.eu/,https://gnau4.operis.fr/metzmetropole/gnau/#/,"Dépôt et suivi de vos demandes Cliquez ici pour accéder au guichet de dépôt de votre demande d'urbanisme, effectuez le suivi de vos demandes et déposez vos DOC et DAACT En savoir plus",6,16,false,false,false,false,false,false,true,false,2024-02-21,2024-09-14,false,false
11,Mairie Vany (FR-57) ⚠️ Alertes & informations municipales,https://app.panneaupocket.com/ville/1597299101-vany-57070,https://gnau4.operis.fr/metzmetropole/gnau/#/,https://gnau4.operis.fr/metzmetropole/gnau/#/,28,45,false,false,false,true,false,false,false,false,2024-02-20,2024-10-10,false,false
5,Déposer un dossier d'urbanisme en ligne - Urbanisme - Commune de Woippy,https://www.ville-woippy.fr/fr/deposer-un-dossier-d-urbanisme-en-ligne.html,https://gnau4.operis.fr/metzmetropole/gnau/#/,Dossier urbanisme Eurométropole de Metz,8,59,false,false,false,true,false,false,false,false,2024-02-23,2024-09-22,false,false
3,Urbanisme,https://www.nouilly.fr/vos-demarches-en-ligne/urbanisme-4153.html,https://gnau4.operis.fr/metzmetropole/gnau/#/,ici,11,60,false,false,false,true,false,false,false,false,2024-03-09,2024-09-16,false,false
2,Urbanisme,https://www.coinsurseille.fr/demarches-administratives/urbanisme-1973.html,https://gnau4.operis.fr/metzmetropole/gnau/#/,"Dépôt et suivi de vos demandes Cliquez ici pour accéder au guichet de dépôt de votre demande d'urbanisme, effectuez le suivi de vos demandes et déposez vos DOC et DAACT En savoir plus",21,62,false,false,false,false,false,false,true,false,2023-06-16,2024-09-30,false,false
2,Travaux,https://www.gravelotte.fr/informations-pratiques/demarches-administratives/travaux-4693.html,https://gnau4.operis.fr/metzmetropole/gnau/#/,cliquez ici,5,48,false,false,false,true,false,false,false,false,2024-02-21,2024-09-28,false,false
0,Portail urbanisme des communes de l'eurométropole de Metz,https://izzara.blue/mastah-kampret/kTM1VmL6RXZtVGbvB3byRXZt9mc1VmLl12cp5WYiJXd6MHc0/,https://gnau4.operis.fr/metzmetropole/gnau/#/,"Dépôt et suivi de vos demandes Cliquez ici pour accéder au guichet de dépôt de votre demande d'urbanisme, effectuez le suivi de vos demandes et déposez vos DOC et DAACT En savoir plus",2,27,false,false,false,false,false,false,true,false,2024-03-29,2024-05-21,false,false
0,Dépôt en ligne,https://www.vany.fr/mes-demarches/urbanisme/depot-en-ligne-5112.html,https://gnau4.operis.fr/metzmetropole/gnau/#/,cliquez-ici,4,112,false,false,false,true,false,false,false,false,2024-02-23,2024-09-28,false,false
